element_name,n,avg_pctg,pctg_var,pctg_sd
aid,104,0.25463801689763227,0.017365055081254643,0.13177653463820727
animal witness,66,0.8651912590151403,0.009371406898711557,0.09680602718173884
countertasks,70,0.21807327593041878,0.007205668166833119,0.0848862071648458
dead (or transformed) mother help,21,0.16105085083966111,0.006899657319450398,0.08306417590905478
dead father help,2,0.225,0.0012499999999999994,0.03535533905932737
ear cornucopia,15,0.3704209241051346,0.02193343829730415,0.14809942031386938
eating taboo,9,0.32316846809880867,0.0452686369721063,0.21276427560120684
false bride,29,0.768986547952599,0.018044856667128118,0.13433114555875758
happy marriage,315,0.9715128204255434,0.0052249172747491825,0.07228358924921467
hearth abode,41,0.2908607426201627,0.03462171882732597,0.18606912378824694
help at grave,30,0.2945286713630367,0.027357389894909177,0.1654006949650127
helpful animal,49,0.2922542563654271,0.021231042933759662,0.14570876066235572
heroine disguise and hero disguise,104,0.3930664154221847,0.023835402891866603,0.1543871849988418
heroine flight and hero flight,88,0.46120690845571227,0.03090099728766808,0.17578679497524288
hiding-box,22,0.525924075924076,0.024000755625559395,0.15492177260010742
ill-treated heroine and hero,150,0.13105136392675093,0.011179010123097653,0.10573083808945077
lost shoe,140,0.6320599738484524,0.017150143510889743,0.13095855646306484
lovesick prince,67,0.758581555478649,0.011936705168574337,0.10925522947929923
magic dresses,213,0.3723705479739361,0.02129049359076257,0.14591262313714523
marriage tests,180,0.6489853868182042,0.08880667902646783,0.29800449497695136
meeting-place,210,0.5187493665727854,0.01941200655689043,0.13932697713253678
menial heroine and hero,200,0.3863526226095885,0.04022362056955254,0.20055827225410708
mutilated feet,67,0.8075581266717304,0.007813515142429303,0.08839408997455261
outcast heroine and hero,34,0.3259612936083524,0.06398449111675725,0.25295155883440856
pitch trap,43,0.545197126934473,0.02451480249615652,0.15657203612445142
recognition by means of shoe or ring,16,0.8178503787878788,0.005576809498605585,0.07467803893117163
recognition food,60,0.8861180023680024,0.003068309211440034,0.055392320870676956
revivified bones,16,0.3361600847015901,0.03413149533306866,0.18474711183958645
shoe marriage test,132,0.6983534621006475,0.01794103668043059,0.1339441550812524
slaying of helpful animal,38,0.42625439067206217,0.04425716212742129,0.21037386274777883
substituted bride,8,0.8244931641071347,0.040694460422501376,0.20172868021801307
surprise rencontre,9,0.7171957671957672,0.020661533131771225,0.14374120192822665
task-performing animal,31,0.4054871477047648,0.024529202814687446,0.1566180156134263
tasks,29,0.4011812490914658,0.06234440148270993,0.24968860903675588
threefold flight,171,0.6170945224004536,0.018459304910091984,0.1358650246019629
token objects,50,0.6149068986568986,0.014972807210253535,0.12236342268118171
trophy marriage test,3,0.6507575757575758,0.004547176308539948,0.06743275397416265
villain nemesis,66,0.9769328525010343,0.003667360805735217,0.06055873847542745
